Country Name,Country Code,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Ethiopia,ETH,1990,YR1990,20.177310924369753,26.409036520692307,0.01,73.69351959,30.62777387,1062.0,88.35274542,744589.6,96.63538677,1202.0,770514.4304
Ethiopia,ETH,1991,YR1991,20.177310924369753,26.409036520692307,0.01,74.27735901,34.11260658,1082.0,89.49545079,771364.8,96.71128918,1209.0,797595.4065
Ethiopia,ETH,1992,YR1992,20.177310924369753,26.409036520692307,0.027324773,74.86102295,38.26219649,1151.0,92.74778405,799706.7,97.74041451,1241.0,818194.5043
Ethiopia,ETH,1993,YR1993,20.177310924369753,26.409036520692307,0.157241911,75.44366455,35.23218429,1263.0,91.32321041,828873.0,97.19865822,1383.0,852761.7718
Ethiopia,ETH,1994,YR1994,20.177310924369753,26.409036520692307,0.598653972,76.02423859,35.46826961,1354.0,93.3149552,858338.6,96.88388584,1451.0,885945.6787
Ethiopia,ETH,1995,YR1995,20.177310924369753,26.409036520692307,1.11878562,76.60171509,34.65784112,1428.0,93.51669941,887468.7,96.62013956,1527.0,918513.1631
Ethiopia,ETH,1996,YR1996,20.177310924369753,26.409036520692307,2.780768871,77.17507935,31.87746437,1510.0,94.19837804,916096.3,96.35197819,1603.0,950780.9982
Ethiopia,ETH,1997,YR1997,20.177310924369753,26.409036520692307,4.427456856,77.74328613,31.79393618,1566.0,97.0260223,944380.2,96.22085637,1614.0,981471.4145
Ethiopia,ETH,1998,YR1998,20.177310924369753,26.409036520692307,6.055789948,78.30530548,33.94198341,1605.0,97.09618875,972518.4,96.10024144,1653.0,1011983.306
Ethiopia,ETH,1999,YR1999,20.177310924369753,26.409036520692307,7.662709236,78.86011505,33.18132473,1625.0,98.84428224,1000973.0,96.18948969,1644.0,1040626.167
Ethiopia,ETH,2000,YR2000,1.07,0.4,12.7,76.2,32.25185376,1651.0,98.6260454,1030460.0,95.95322791,1674.0,1073919.057
Ethiopia,ETH,2001,YR2001,1.18,26.409036520692307,10.81223297,79.94909668,30.90028904,1993.0,99.055666,1060641.0,95.07856408,2012.0,1115541.668
Ethiopia,ETH,2002,YR2002,1.31,0.232356547,12.36544323,80.48825836,31.34304557,2023.0,98.97260274,1092337.0,95.01673159,2044.0,1149625.947
Ethiopia,ETH,2003,YR2003,1.46,1.779477726,13.91236973,81.02762604,33.05451195,2280.0,99.30313589,1124363.0,94.74581801,2296.0,1186715.175
Ethiopia,ETH,2004,YR2004,1.58,3.328514641,15.45907593,81.57000732,29.97482643,2521.0,99.29105947,1157129.0,94.65854624,2539.0,1222424.225
Ethiopia,ETH,2005,YR2005,1.79,1.9,14.0,85.7,27.46927338,2833.0,99.57820738,1190596.0,95.12657887,2845.0,1251591.316
Ethiopia,ETH,2006,YR2006,1.96,6.458382128,18.57607841,82.67510223,25.5342218,3259.0,99.69409605,1224271.0,94.94232726,3269.0,1289489.141
Ethiopia,ETH,2007,YR2007,2.1,8.038465951,20.15850067,83.24344635,23.62806956,3385.0,95.43276008,1257832.0,94.57412114,3547.0,1329995.97
Ethiopia,ETH,2008,YR2008,2.36,9.490819639,21.76344299,83.82530212,21.97238829,3310.0,87.6356897,1293008.0,94.51607097,3777.0,1368029.782
Ethiopia,ETH,2009,YR2009,2.51,10.9688875,23.38941193,84.41965485,20.75798563,3548.0,88.87775551,1329398.0,94.60484215,3992.0,1405211.372
Ethiopia,ETH,2010,YR2010,2.69,12.46716078,25.0334053,85.02472687,18.96226638,4949.0,99.37751004,1369480.0,94.51739029,4980.0,1448918.549
Ethiopia,ETH,2011,YR2011,2.82,4.8,23.0,85.2,17.63183002,6299.0,99.41603535,1409211.0,94.01290641,6336.0,1498954.828
Ethiopia,ETH,2012,YR2012,3.01,15.51644287,28.36344719,86.25985718,16.69481066,7580.0,99.84193888,1449682.0,93.75025898,7608.0,1546323.195
Ethiopia,ETH,2013,YR2013,3.11,17.06340073,30.04348755,86.88635254,15.62376818,8694.0,99.90806711,1490084.0,93.00085661,8719.0,1602226.102
Ethiopia,ETH,2014,YR2014,3.25,12.2,27.2,91.98251748,14.67318586,9512.0,99.96847084,1529822.0,92.06765188,9615.0,1661628.128
Ethiopia,ETH,2015,YR2015,3.4,20.18473012,33.41859055,88.14826965,13.66926417,10433.0,99.96167481,1574274.0,92.16346114,10437.0,1708132.464
Ethiopia,ETH,2016,YR2016,3.51,26.5,42.9,85.4,14.771833664140127,3368.3241758241757,34.7871172652967,272602.86246153846,69.80962819497469,16413.205555555556,500494.0735054395
Kenya,KEN,1990,YR1990,20.177310924369753,26.409036520692307,3.318389893,35.90447235,8.050731568,3004.0,92.85935085,239306.3,77.5040046,3235.0,308766.3679
